"data","id_marca","marca","veiculo","vendas","valor_do_veiculo","receita"
"2022-11-01","1","Fiat","Mobi","25","64000","1600000"
"2022-11-01","2","Volkswagen","Up","26","58000","1508000"
"2022-11-01","3","Kia","Picanto","30","46000","1380000"
"2022-11-01","4","Peugeot","208","15","92000","1380000"
"2022-11-01","5","Toyota","Corolla","6","158000","948000"
"2022-11-01","6","Nissan","March","3","30000","90000"
"2022-11-01","1","Fiat","Uno","2","42000","84000"
"2022-11-01","3","Kia","Rio","1","89000","89000"
"2022-11-01","9","Chevrolet","onix","5","40000","200000"
"2022-11-01","10","JaC Motors","J2","1","12000","12000"
"2022-11-01","11","Renault","Clio","10","42000","420000"
"2022-12-01","1","Fiat","Mobi","32","72000","2304000"
"2022-12-01","2","Volkswagen","Up","24","68000","1632000"
"2022-12-01","3","Kia","Picanto","19","49000","931000"
"2022-12-01","4","Peugeot","2008","1","90000","90000"
"2022-12-01","5","Toyota","Yaris","3","75000","225000"
"2022-12-01","1","Fiat","Palio","1","15000","15000"
"2022-12-01","7","Mitsubishi","Pajero","5","280000","1400000"
"2022-12-01","8","Subaru","Forester","12","360000","4320000"
"2022-12-01","3","Kia","Cerato","2","45000","90000"
"2022-12-01","10","JaC Motors","J2","1","12000","12000"
"2022-12-01","11","Renault","Sandero","6","52000","312000"
